Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Astral Bodies;Astral Bodies v9+1.5 -VRP;com.RGS.AstralBodies;9;2023-04-17 16:46 UTC;237
AUDICA;AUDICA v131808601+1.0.3.4 -VRP R2;com.harmonixmusic.kata;131808601;2023-04-17 16:43 UTC;659
Audio Trip;Audio Trip v546+1.0.4453 -VRP;com.KinemotikStudios.AudioTripQuest;546;2023-10-21 14:09 UTC;709
Audioshield;Audioshield v136+136 -VRP;com.Audiosurf.Audioshield;136;2023-04-17 16:47 UTC;297
AVICII Invector- Encore Edition;AVICII Invector- Encore Edition v58+1 -VRP;com.hellothere.invectorvr;58;2023-04-17 16:43 UTC;1634
Axegend;Axegend v1+3.0.5 -unknown;com.SubversionSquads.Axegend;1;2023-03-09 12:57 UTC;811
AYAKASHI KITAN;AYAKASHI KITAN v6+1.000 -VRP;com.NSM.Ayakashikitan_SA;6;2023-08-15 21:05 UTC;310
B-Team;B-Team v70+21.11.09.358028 -VRP;com.twistedpixelgames.BTEAM_App;70;2023-04-17 16:47 UTC;1020
Baba Yaga;Baba Yaga v3500+1.0.3500 -VRP;com.baobab.babayaga;3500;2023-04-17 16:54 UTC;1027
Baby Hands;Baby Hands v24+2.3 -VRP;com.ChickenWaffle.BabyHands;24;2023-04-17 16:54 UTC;171
Backyard Archery VR;Backyard Archery VR v209+1.0 -VRP R2;com.BarebowArchery.Project;209;2023-04-17 16:54 UTC;398
Bacon Roll;Bacon Roll v6+1.15.41 -VRP;com.fieldofvision.baconroll;6;2023-04-17 16:54 UTC;210
Ballista;Ballista v42+20.42 -VRP R2;com.HighVoltage.Crossbow;42;2023-04-17 16:55 UTC;1956
Balloon Gunner;Balloon Gunner v117+1.8.8 -ITCH;com.bobw.balloon.appovr;117;2023-03-09 12:57 UTC;12
Ballooning Adventures;Ballooning Adventures v5+1.1.2 -VRP;com.vector3up.BallooningAdventures;5;2023-04-17 16:56 UTC;115
BAM;BAM v2565+1.02 -VRP;com.iillusions.bamgame;2565;2023-10-23 20:35 UTC;702
BanditSix;BanditSix v130+1.1.0 -unknown;com.climaxstudios.BanditSix;130;2023-03-09 12:57 UTC;298
BangSquash PRO;BangSquash PRO v12+2.2 -VRP;com.lebersoftware.bangsquashpro;12;2023-03-09 12:57 UTC;149
Barbaria;Barbaria v94+1.3.1.20654.94.OBERON.Quest.release -VRP;com.stalwart.barbaria;94;2023-10-24 19:02 UTC;2240
Barbershop Simulator;Barbershop Simulator v1+0.1 -VRP;com.MKaram.TheBarberVR;1;2023-03-09 12:57 UTC;460
BARTENDER VR SIMULATOR;BARTENDER VR SIMULATOR v451+1,3 -VRP;com.VRFactory.VRBartender;451;2023-10-26 14:15 UTC;1059
Basket VR;Basket VR v2+0.2 -unknown;com.realdragon.basketlittle;2;2023-03-09 12:57 UTC;79
BasketBall VR Game;BasketBall VR Game v8+1.8 -VRP;com.VrGameStudio.BasketBallGame;8;2023-08-16 12:19 UTC;138
Battle Arena VR;Battle Arena VR v460+2.26.460 -VRP;com.DreamTeamMobile.BattleArenaVR;460;2023-04-17 16:58 UTC;611
Battle Talent;Battle Talent v36+3.5 -VRP;com.CyDream.BattleTalent;36;2023-10-29 14:13 UTC;2241
BattleGlide;BattleGlide v8+0.2 -VRP;com.GhostlyBirdGames.BattleGlide;8;2023-10-26 14:15 UTC;912
BattleGroupVR;BattleGroupVR v30+30 -VRP;com.SpaceOwlGames.BattleGroupVR;30;2023-05-23 14:10 UTC;937
BattleOnTop;BattleOnTop v200007+0.4.3 -VRP;com.FunIT.BattleOnTop_release;200007;2023-08-04 17:53 UTC;989
BATTLESCAR- Punk Was Invented By Girls;BATTLESCAR- Punk Was Invented By Girls v1255+_1255_3142 -VRP R2;com.atlas.Battlescar.Quest;1255;2023-04-17 16:48 UTC;2048
BEAT ARENA;BEAT ARENA v71+1.5.1 -VRP R2;jp.konami.bvr;71;2023-04-17 16:49 UTC;953
Beat Blaster;Beat Blaster v22+1.94 -VRP;com.IvanovichGames.BeatBlasterVR;22;2023-10-17 11:56 UTC;142
Beat Saber;Beat Saber v406+1.25.1 -VRP;com.beatgames.beatsaber;406;2023-04-18 15:10 UTC;2652
Beat Saber;Beat Saber v545+1.28.0 -VRP;com.beatgames.beatsaber;545;2023-05-25 15:24 UTC;3290
Beat Saber;Beat Saber v915+1.32.0_6331131390 -VRP;com.beatgames.beatsaber;915;2023-10-09 11:37 UTC;3817
Beat Saber (Multi-Install);Beat Saber v915+1.32.0_6331131390 -VRP (Multi-Install);com.beatgames.beatpaber;915;2023-10-09 12:21 UTC;3817
Beat Saber w.BMBF;Beat Saber v545+1.28.0 -VRP w.BMBF;com.beatgames.beatsaber;545;2023-05-25 11:16 UTC;3431
Beer Pong Basement;Beer Pong Basement v195+0.9.5.3 -NIF;com.JonasBellmann.BeerPongBasement;195;2023-06-18 13:43 UTC;701
Beers and Boomerangs;Beers and Boomerangs v61+1.0.2 -VRP;Com.WittyPlatypus.BeersAndBoomerangs;61;2023-06-21 21:03 UTC;600
Big Ballers Basketball VR;Big Ballers Basketball VR v2871+2023.7.14 -VRP;com.dogelabs.bigballersbasketball;2871;2023-07-19 14:53 UTC;1178
Big Bat VR;Big Bat VR v12+1.0.3.5 -VRP;com.AVRspot.BigBatVR;12;2023-04-17 16:59 UTC;310
Big Breezy Boat;Big Breezy Boat v189+1.0.189 -VRP;com.marineverse.morequest;189;2023-03-09 12:57 UTC;643
Big Cat Rescue;Big Cat Rescue v1+1.0.180 -VRP;com.xennialdigital.bigcatrescue;1;2023-04-17 16:59 UTC;311
Big Fight;Big Fight v2+1.1 -VRP;com.RealityGamesOnline.BigFightVR;2;2023-07-03 13:54 UTC;242
Billionaires Show;Billionaires Show v27+1.27 -NIF;com.spontan.billionaireshow;27;2023-08-04 14:35 UTC;514
Bionic Hunter - The Ancient Sword;Bionic Hunter - The Ancient Sword v25+3.84 -VRP;com.AnomosStudios.BionicHunterTheAncientSword;25;2023-04-17 17:00 UTC;1568
Black Hole Pool;Black Hole Pool v5002000+5.2 -VRP;com.el.blackholepooldemo;5002000;2023-09-13 13:17 UTC;592
Black Hole Pool Lite;Black Hole Pool Lite v6+1.0 -VRP;io.pxlworks.blackholepoolliteq;6;2023-10-27 20:26 UTC;1129
Blade & Sorcery - Nomad (With Mods);Blade & Sorcery- Nomad v103+0.11.2 -VRP (With Mods);com.Warpfrog.BladeAndSorcery;103;2023-04-25 11:54 UTC;2439
Blade & Sorcery- Nomad;Blade & Sorcery- Nomad v382+0.12.3 -VRP;com.Warpfrog.BladeAndSorcery;382;2023-08-21 12:45 UTC;2413
Blair Witch- Oculus Quest Edition;Blair Witch- Oculus Quest Edition v49+1.46 -VRP;pl.bloober.blairwitch;49;2023-08-16 12:19 UTC;3875
Blast Beat VR;Blast Beat VR v22+1.0.1 -VRP R2;jp.co.gzeal.BlastBeat;22;2023-04-17 17:01 UTC;783
BlazeRush- Star Track;BlazeRush- Star Track v302+1.0.302 -VRP;ru.targem.blazerush;302;2023-04-17 17:02 UTC;1005
BLINNK and the Vacuum of Space;BLINNK and the Vacuum of Space v5002000+5.2.0-u08 -VRP;com.changingday.vacuumofspace;12002;2023-07-14 19:19 UTC;692
Block Buster;Block Buster v146+1.4.1_BB -VRP;HappyKamperPictures.Blockbuster;146;2023-10-14 20:48 UTC;886
Blockami VR;Blockami VR v1+0.1 -unknown;com.aardVRk.blockami;1;2023-03-09 12:57 UTC;161
Blockies VR;Blockies VR v13+0.0.13 -NIF;com.DragonGateStudio.BlockiesVR;13;2023-05-11 14:03 UTC;875
BlockVerse;BlockVerse v901+0.9.0 -VRP;com.RunningPixel.blockverseXR;901;2023-05-19 20:09 UTC;151
Blokz;Blokz v32+0.1.32 -VRP R2;com.Rezzil.Blokz;32;2023-04-17 17:03 UTC;329
Blueplanet VR Explore;Blueplanet VR Explore v7+7 -VRP;com.blueplanetvr.blueplanetvr_explore_alpha;7;2023-08-15 21:05 UTC;17354
Bobble Wobble;Bobble Wobble v2+1.1 -Unknown;com.MoonShineGames.BobbleWobble;2;2023-03-09 12:57 UTC;480
Bocce Time!;Bocce Time! v90+1.3.1 -VRP;com.DeepDiveInteractive.BocceTime;90;2023-04-04 23:54 UTC;310
Bodyguard 2;Bodyguard 2 v1+1.5 -unknown;com.studio3DD.bodyguard2;1;2023-03-09 12:57 UTC;182
BONELAB;BONELAB v2068+1.2068.34555 -VRP;com.StressLevelZero.BONELAB;2068;2023-06-13 11:27 UTC;6994
Bonfire;Bonfire v542+1.0.542 -VRP;com.baobab.bonfire;542;2023-04-17 17:04 UTC;421
Bonsai Desk;Bonsai Desk v57+0.2.1 -VRP;com.HyperMesa.BonsaiDesk;57;2023-03-09 12:57 UTC;130
BoomBox;BoomBox v320+3.2.0 -VRP;com.cyberspline.boombox;320;2023-09-20 17:02 UTC;449
Boule Petanque;Boule Petanque v445+1.3.1 -VRP;com.KaiKramhoeft.Boulepetanque;445;2023-04-17 17:04 UTC;153
Bounce Shot;Bounce Shot v94+1.0.2 -VRP;com.forfunlabs.bounchshot;94;2023-10-12 17:26 UTC;442
BOW MAN;BOW MAN v224+1.4.0 -VRP;com.dmm.bowman;224;2023-04-17 16:53 UTC;97
